Library,Type,Tested in,Best in,# of Appearances,# of Bests
Java Collections (JDK),Object,"[1], [2], [3], [5], [6], [7], [8], [9], [10], [11], [13], [14], [15]",,13,0
Trove,Primitive,"[1], [2], [3], [6], [10], [11], [12], [13], [14], [15]",[2] [13],10,2
HPPC,Primitive,"[3], [6], [9], [10], [11], [12]",[11] [12],6,2
Koloboke,Object,"[3], [4], [6], [9], [10]",[6] [9] [10],5,3
FastUtil,Primitive,"[3], [10], [11], [12]",[3] [11],4,2
gs-collections,Object,"[1], [3], [6], [10]",[1],4,1
Javolution,Object,"[5], [7], [8], [15]",[5],4,1
Guava,Object,"[1], [9], [15]",[15],3,1
Mahout,Primitive,"[10], [11], [12]",,3,0
commons-collections,Object,"[5], [7]",,2,0
BrowniesCollection,Object,[7],[7],1,1
Colt,Object,[14],[14],1,1
