,benchmark,forks,jdkVersion,jmhVersion,jvm,jvmArgs,measurementBatchSize,measurementIterations,measurementTime,mode,params,primaryMetric,secondaryMetrics,threads,vmName,vmVersion,warmupBatchSize,warmupIterations,warmupTime,numentries,tablesizemax,tablesizesum,totalmemory,impl,payloadType,workload,size,bench_id,class,clazz,method
0,de.heidelberg.pvs.container_bench.benchmarks.wordcount.Blackhole.wordcount,1,1.8.0_181,1.21,/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java,[],1,1,1 ns,avgt,"{'doMemory': 'true', 'impl': 'BLACKHOLE', 'seed': '-1', 'size': '1000', 'workload': 'WORDCOUNT'}","{'score': 114.622, 'scoreError': 'NaN', 'scoreConfidence': ['NaN', 'NaN'], 'scorePercentiles': {'0.0': 114.622, '50.0': 114.622, '90.0': 114.622, '95.0': 114.622, '99.0': 114.622, '99.9': 114.622, '99.99': 114.622, '99.999': 114.622, '99.9999': 114.622, '100.0': 114.622}, 'scoreUnit': 'us/op', 'rawData': [[114.622]]}","{'numentries': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'tablesizemax': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'tablesizesum': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'totalmemory': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}}",1,OpenJDK 64-Bit Server VM,25.181-b13,1,1,1 ns,0.0,0.0,0.0,0.0,BLACKHOLE,_,WORDCOUNT,1000,wordcount,Blackhole,Blackhole,wordcount
1,de.heidelberg.pvs.container_bench.benchmarks.wordcount.Blackhole.wordcount,1,1.8.0_181,1.21,/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java,[],1,1,1 ns,avgt,"{'doMemory': 'true', 'impl': 'BLACKHOLE', 'seed': '-1', 'size': '10000', 'workload': 'WORDCOUNT'}","{'score': 1251.952, 'scoreError': 'NaN', 'scoreConfidence': ['NaN', 'NaN'], 'scorePercentiles': {'0.0': 1251.952, '50.0': 1251.952, '90.0': 1251.952, '95.0': 1251.952, '99.0': 1251.952, '99.9': 1251.952, '99.99': 1251.952, '99.999': 1251.952, '99.9999': 1251.952, '100.0': 1251.952}, 'scoreUnit': 'us/op', 'rawData': [[1251.952]]}","{'numentries': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'tablesizemax': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'tablesizesum': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'totalmemory': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}}",1,OpenJDK 64-Bit Server VM,25.181-b13,1,1,1 ns,0.0,0.0,0.0,0.0,BLACKHOLE,_,WORDCOUNT,10000,wordcount,Blackhole,Blackhole,wordcount
2,de.heidelberg.pvs.container_bench.benchmarks.wordcount.Blackhole.wordcount,1,1.8.0_181,1.21,/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java,[],1,1,1 ns,avgt,"{'doMemory': 'true', 'impl': 'BLACKHOLE', 'seed': '-1', 'size': '100000', 'workload': 'WORDCOUNT'}","{'score': 2940.732, 'scoreError': 'NaN', 'scoreConfidence': ['NaN', 'NaN'], 'scorePercentiles': {'0.0': 2940.732, '50.0': 2940.732, '90.0': 2940.732, '95.0': 2940.732, '99.0': 2940.732, '99.9': 2940.732, '99.99': 2940.732, '99.999': 2940.732, '99.9999': 2940.732, '100.0': 2940.732}, 'scoreUnit': 'us/op', 'rawData': [[2940.732]]}","{'numentries': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'tablesizemax': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'tablesizesum': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'totalmemory': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}}",1,OpenJDK 64-Bit Server VM,25.181-b13,1,1,1 ns,0.0,0.0,0.0,0.0,BLACKHOLE,_,WORDCOUNT,100000,wordcount,Blackhole,Blackhole,wordcount
3,de.heidelberg.pvs.container_bench.benchmarks.wordcount.Blackhole.wordcount,1,1.8.0_181,1.21,/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java,[],1,1,1 ns,avgt,"{'doMemory': 'true', 'impl': 'BLACKHOLE', 'seed': '-1', 'size': '1000000', 'workload': 'WORDCOUNT'}","{'score': 11803.057, 'scoreError': 'NaN', 'scoreConfidence': ['NaN', 'NaN'], 'scorePercentiles': {'0.0': 11803.057, '50.0': 11803.057, '90.0': 11803.057, '95.0': 11803.057, '99.0': 11803.057, '99.9': 11803.057, '99.99': 11803.057, '99.999': 11803.057, '99.9999': 11803.057, '100.0': 11803.057}, 'scoreUnit': 'us/op', 'rawData': [[11803.057]]}","{'numentries': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'tablesizemax': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'tablesizesum': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}, 'totalmemory': {'score': 0.0, 'scoreError': 'NaN', 'scoreConfidence': [0.0, 0.0], 'scorePercentiles': {'0.0': 0.0, '50.0': 0.0, '90.0': 0.0, '95.0': 0.0, '99.0': 0.0, '99.9': 0.0, '99.99': 0.0, '99.999': 0.0, '99.9999': 0.0, '100.0': 0.0}, 'scoreUnit': '#', 'rawData': [[0.0]]}}",1,OpenJDK 64-Bit Server VM,25.181-b13,1,1,1 ns,0.0,0.0,0.0,0.0,BLACKHOLE,_,WORDCOUNT,1000000,wordcount,Blackhole,Blackhole,wordcount
4,de.heidelberg.pvs.container_bench.benchmarks.wordcount.EclipseIntegerAddTo.wordcount,1,1.8.0_181,1.21,/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java,[],1,1,1 ns,avgt,"{'doMemory': 'true', 'impl': 'ECLIPSE_O2I_HASH', 'seed': '-1', 'size': '1000', 'workload': 'WORDCOUNT'}","{'score': 335.189, 'scoreError': 'NaN', 'scoreConfidence': ['NaN', 'NaN'], 'scorePercentiles': {'0.0': 335.189, '50.0': 335.189, '90.0': 335.189, '95.0': 335.189, '99.0': 335.189, '99.9': 335.189, '99.99': 335.189, '99.999': 335.189, '99.9999': 335.189, '100.0': 335.189}, 'scoreUnit': 'us/op', 'rawData': [[335.189]]}","{'numentries': {'score': 499.0, 'scoreError': 'NaN', 'scoreConfidence': [499.0, 499.0], 'scorePercentiles': {'0.0': 499.0, '50.0': 499.0, '90.0': 499.0, '95.0': 499.0, '99.0': 499.0, '99.9': 499.0, '99.99': 499.0, '99.999': 499.0, '99.9999': 499.0, '100.0': 499.0}, 'scoreUnit': '#', 'rawData': [[499.0]]}, 'tablesizemax': {'score': 1024.0, 'scoreError': 'NaN', 'scoreConfidence': [1024.0, 1024.0], 'scorePercentiles': {'0.0': 1024.0, '50.0': 1024.0, '90.0': 1024.0, '95.0': 1024.0, '99.0': 1024.0, '99.9': 1024.0, '99.99': 1024.0, '99.999': 1024.0, '99.9999': 1024.0, '100.0': 1024.0}, 'scoreUnit': '#', 'rawData': [[1024.0]]}, 'tablesizesum': {'score': 2048.0, 'scoreError': 'NaN', 'scoreConfidence': [2048.0, 2048.0], 'scorePercentiles': {'0.0': 2048.0, '50.0': 2048.0, '90.0': 2048.0, '95.0': 2048.0, '99.0': 2048.0, '99.9': 2048.0, '99.99': 2048.0, '99.999': 2048.0, '99.9999': 2048.0, '100.0': 2048.0}, 'scoreUnit': '#', 'rawData': [[2048.0]]}, 'totalmemory': {'score': 35688.0, 'scoreError': 'NaN', 'scoreConfidence': [35688.0, 35688.0], 'scorePercentiles': {'0.0': 35688.0, '50.0': 35688.0, '90.0': 35688.0, '95.0': 35688.0, '99.0': 35688.0, '99.9': 35688.0, '99.99': 35688.0, '99.999': 35688.0, '99.9999': 35688.0, '100.0': 35688.0}, 'scoreUnit': '#', 'rawData': [[35688.0]]}}",1,OpenJDK 64-Bit Server VM,25.181-b13,1,1,1 ns,499.0,1024.0,2048.0,35688.0,ECLIPSE_O2I_HASH,_,WORDCOUNT,1000,wordcount,EclipseIntegerAddTo,EclipseIntegerAddTo,wordcount
5,de.heidelberg.pvs.container_bench.benchmarks.wordcount.EclipseIntegerAddTo.wordcount,1,1.8.0_181,1.21,/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java,[],1,1,1 ns,avgt,"{'doMemory': 'true', 'impl': 'ECLIPSE_O2I_HASH', 'seed': '-1', 'size': '10000', 'workload': 'WORDCOUNT'}","{'score': 2634.663, 'scoreError': 'NaN', 'scoreConfidence': ['NaN', 'NaN'], 'scorePercentiles': {'0.0': 2634.663, '50.0': 2634.663, '90.0': 2634.663, '95.0': 2634.663, '99.0': 2634.663, '99.9': 2634.663, '99.99': 2634.663, '99.999': 2634.663, '99.9999': 2634.663, '100.0': 2634.663}, 'scoreUnit': 'us/op', 'rawData': [[2634.663]]}","{'numentries': {'score': 3239.0, 'scoreError': 'NaN', 'scoreConfidence': [3239.0, 3239.0], 'scorePercentiles': {'0.0': 3239.0, '50.0': 3239.0, '90.0': 3239.0, '95.0': 3239.0, '99.0': 3239.0, '99.9': 3239.0, '99.99': 3239.0, '99.999': 3239.0, '99.9999': 3239.0, '100.0': 3239.0}, 'scoreUnit': '#', 'rawData': [[3239.0]]}, 'tablesizemax': {'score': 8192.0, 'scoreError': 'NaN', 'scoreConfidence': [8192.0, 8192.0], 'scorePercentiles': {'0.0': 8192.0, '50.0': 8192.0, '90.0': 8192.0, '95.0': 8192.0, '99.0': 8192.0, '99.9': 8192.0, '99.99': 8192.0, '99.999': 8192.0, '99.9999': 8192.0, '100.0': 8192.0}, 'scoreUnit': '#', 'rawData': [[8192.0]]}, 'tablesizesum': {'score': 16384.0, 'scoreError': 'NaN', 'scoreConfidence': [16384.0, 16384.0], 'scorePercentiles': {'0.0': 16384.0, '50.0': 16384.0, '90.0': 16384.0, '95.0': 16384.0, '99.0': 16384.0, '99.9': 16384.0, '99.99': 16384.0, '99.999': 16384.0, '99.9999': 16384.0, '100.0': 16384.0}, 'scoreUnit': '#', 'rawData': [[16384.0]]}, 'totalmemory': {'score': 250360.0, 'scoreError': 'NaN', 'scoreConfidence': [250360.0, 250360.0], 'scorePercentiles': {'0.0': 250360.0, '50.0': 250360.0, '90.0': 250360.0, '95.0': 250360.0, '99.0': 250360.0, '99.9': 250360.0, '99.99': 250360.0, '99.999': 250360.0, '99.9999': 250360.0, '100.0': 250360.0}, 'scoreUnit': '#', 'rawData': [[250360.0]]}}",1,OpenJDK 64-Bit Server VM,25.181-b13,1,1,1 ns,3239.0,8192.0,16384.0,250360.0,ECLIPSE_O2I_HASH,_,WORDCOUNT,10000,wordcount,EclipseIntegerAddTo,EclipseIntegerAddTo,wordcount
6,de.heidelberg.pvs.container_bench.benchmarks.wordcount.EclipseIntegerAddTo.wordcount,1,1.8.0_181,1.21,/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java,[],1,1,1 ns,avgt,"{'doMemory': 'true', 'impl': 'ECLIPSE_O2I_HASH', 'seed': '-1', 'size': '100000', 'workload': 'WORDCOUNT'}","{'score': 6892.922, 'scoreError': 'NaN', 'scoreConfidence': ['NaN', 'NaN'], 'scorePercentiles': {'0.0': 6892.922, '50.0': 6892.922, '90.0': 6892.922, '95.0': 6892.922, '99.0': 6892.922, '99.9': 6892.922, '99.99': 6892.922, '99.999': 6892.922, '99.9999': 6892.922, '100.0': 6892.922}, 'scoreUnit': 'us/op', 'rawData': [[6892.922]]}","{'numentries': {'score': 16764.0, 'scoreError': 'NaN', 'scoreConfidence': [16764.0, 16764.0], 'scorePercentiles': {'0.0': 16764.0, '50.0': 16764.0, '90.0': 16764.0, '95.0': 16764.0, '99.0': 16764.0, '99.9': 16764.0, '99.99': 16764.0, '99.999': 16764.0, '99.9999': 16764.0, '100.0': 16764.0}, 'scoreUnit': '#', 'rawData': [[16764.0]]}, 'tablesizemax': {'score': 65536.0, 'scoreError': 'NaN', 'scoreConfidence': [65536.0, 65536.0], 'scorePercentiles': {'0.0': 65536.0, '50.0': 65536.0, '90.0': 65536.0, '95.0': 65536.0, '99.0': 65536.0, '99.9': 65536.0, '99.99': 65536.0, '99.999': 65536.0, '99.9999': 65536.0, '100.0': 65536.0}, 'scoreUnit': '#', 'rawData': [[65536.0]]}, 'tablesizesum': {'score': 131072.0, 'scoreError': 'NaN', 'scoreConfidence': [131072.0, 131072.0], 'scorePercentiles': {'0.0': 131072.0, '50.0': 131072.0, '90.0': 131072.0, '95.0': 131072.0, '99.0': 131072.0, '99.9': 131072.0, '99.99': 131072.0, '99.999': 131072.0, '99.9999': 131072.0, '100.0': 131072.0}, 'scoreUnit': '#', 'rawData': [[131072.0]]}, 'totalmemory': {'score': 1487000.0, 'scoreError': 'NaN', 'scoreConfidence': [1487000.0, 1487000.0], 'scorePercentiles': {'0.0': 1487000.0, '50.0': 1487000.0, '90.0': 1487000.0, '95.0': 1487000.0, '99.0': 1487000.0, '99.9': 1487000.0, '99.99': 1487000.0, '99.999': 1487000.0, '99.9999': 1487000.0, '100.0': 1487000.0}, 'scoreUnit': '#', 'rawData': [[1487000.0]]}}",1,OpenJDK 64-Bit Server VM,25.181-b13,1,1,1 ns,16764.0,65536.0,131072.0,1487000.0,ECLIPSE_O2I_HASH,_,WORDCOUNT,100000,wordcount,EclipseIntegerAddTo,EclipseIntegerAddTo,wordcount
7,de.heidelberg.pvs.container_bench.benchmarks.wordcount.EclipseIntegerAddTo.wordcount,1,1.8.0_181,1.21,/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java,[],1,1,1 ns,avgt,"{'doMemory': 'true', 'impl': 'ECLIPSE_O2I_HASH', 'seed': '-1', 'size': '1000000', 'workload': 'WORDCOUNT'}","{'score': 64366.229, 'scoreError': 'NaN', 'scoreConfidence': ['NaN', 'NaN'], 'scorePercentiles': {'0.0': 64366.229, '50.0': 64366.229, '90.0': 64366.229, '95.0': 64366.229, '99.0': 64366.229, '99.9': 64366.229, '99.99': 64366.229, '99.999': 64366.229, '99.9999': 64366.229, '100.0': 64366.229}, 'scoreUnit': 'us/op', 'rawData': [[64366.229]]}","{'numentries': {'score': 74351.0, 'scoreError': 'NaN', 'scoreConfidence': [74351.0, 74351.0], 'scorePercentiles': {'0.0': 74351.0, '50.0': 74351.0, '90.0': 74351.0, '95.0': 74351.0, '99.0': 74351.0, '99.9': 74351.0, '99.99': 74351.0, '99.999': 74351.0, '99.9999': 74351.0, '100.0': 74351.0}, 'scoreUnit': '#', 'rawData': [[74351.0]]}, 'tablesizemax': {'score': 262144.0, 'scoreError': 'NaN', 'scoreConfidence': [262144.0, 262144.0], 'scorePercentiles': {'0.0': 262144.0, '50.0': 262144.0, '90.0': 262144.0, '95.0': 262144.0, '99.0': 262144.0, '99.9': 262144.0, '99.99': 262144.0, '99.999': 262144.0, '99.9999': 262144.0, '100.0': 262144.0}, 'scoreUnit': '#', 'rawData': [[262144.0]]}, 'tablesizesum': {'score': 524288.0, 'scoreError': 'NaN', 'scoreConfidence': [524288.0, 524288.0], 'scorePercentiles': {'0.0': 524288.0, '50.0': 524288.0, '90.0': 524288.0, '95.0': 524288.0, '99.0': 524288.0, '99.9': 524288.0, '99.99': 524288.0, '99.999': 524288.0, '99.9999': 524288.0, '100.0': 524288.0}, 'scoreUnit': '#', 'rawData': [[524288.0]]}, 'totalmemory': {'score': 6411096.0, 'scoreError': 'NaN', 'scoreConfidence': [6411096.0, 6411096.0], 'scorePercentiles': {'0.0': 6411096.0, '50.0': 6411096.0, '90.0': 6411096.0, '95.0': 6411096.0, '99.0': 6411096.0, '99.9': 6411096.0, '99.99': 6411096.0, '99.999': 6411096.0, '99.9999': 6411096.0, '100.0': 6411096.0}, 'scoreUnit': '#', 'rawData': [[6411096.0]]}}",1,OpenJDK 64-Bit Server VM,25.181-b13,1,1,1 ns,74351.0,262144.0,524288.0,6411096.0,ECLIPSE_O2I_HASH,_,WORDCOUNT,1000000,wordcount,EclipseIntegerAddTo,EclipseIntegerAddTo,wordcount
8,de.heidelberg.pvs.container_bench.benchmarks.wordcount.EclipseUpdateValue.wordcount,1,1.8.0_181,1.21,/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java,[],1,1,1 ns,avgt,"{'doMemory': 'true', 'impl': 'ECLIPSE_O2O_HASH', 'seed': '-1', 'size': '1000', 'workload': 'WORDCOUNT'}","{'score': 814.838, 'scoreError': 'NaN', 'scoreConfidence': ['NaN', 'NaN'], 'scorePercentiles': {'0.0': 814.838, '50.0': 814.838, '90.0': 814.838, '95.0': 814.838, '99.0': 814.838, '99.9': 814.838, '99.99': 814.838, '99.999': 814.838, '99.9999': 814.838, '100.0': 814.838}, 'scoreUnit': 'us/op', 'rawData': [[814.838]]}","{'numentries': {'score': 499.0, 'scoreError': 'NaN', 'scoreConfidence': [499.0, 499.0], 'scorePercentiles': {'0.0': 499.0, '50.0': 499.0, '90.0': 499.0, '95.0': 499.0, '99.0': 499.0, '99.9': 499.0, '99.99': 499.0, '99.999': 499.0, '99.9999': 499.0, '100.0': 499.0}, 'scoreUnit': '#', 'rawData': [[499.0]]}, 'tablesizemax': {'score': 2048.0, 'scoreError': 'NaN', 'scoreConfidence': [2048.0, 2048.0], 'scorePercentiles': {'0.0': 2048.0, '50.0': 2048.0, '90.0': 2048.0, '95.0': 2048.0, '99.0': 2048.0, '99.9': 2048.0, '99.99': 2048.0, '99.999': 2048.0, '99.9999': 2048.0, '100.0': 2048.0}, 'scoreUnit': '#', 'rawData': [[2048.0]]}, 'tablesizesum': {'score': 2448.0, 'scoreError': 'NaN', 'scoreConfidence': [2448.0, 2448.0], 'scorePercentiles': {'0.0': 2448.0, '50.0': 2448.0, '90.0': 2448.0, '95.0': 2448.0, '99.0': 2448.0, '99.9': 2448.0, '99.99': 2448.0, '99.999': 2448.0, '99.9999': 2448.0, '100.0': 2448.0}, 'scoreUnit': '#', 'rawData': [[2448.0]]}, 'totalmemory': {'score': 38968.0, 'scoreError': 'NaN', 'scoreConfidence': [38968.0, 38968.0], 'scorePercentiles': {'0.0': 38968.0, '50.0': 38968.0, '90.0': 38968.0, '95.0': 38968.0, '99.0': 38968.0, '99.9': 38968.0, '99.99': 38968.0, '99.999': 38968.0, '99.9999': 38968.0, '100.0': 38968.0}, 'scoreUnit': '#', 'rawData': [[38968.0]]}}",1,OpenJDK 64-Bit Server VM,25.181-b13,1,1,1 ns,499.0,2048.0,2448.0,38968.0,ECLIPSE_O2O_HASH,_,WORDCOUNT,1000,wordcount,EclipseUpdateValue,EclipseUpdateValue,wordcount
9,de.heidelberg.pvs.container_bench.benchmarks.wordcount.EclipseUpdateValue.wordcount,1,1.8.0_181,1.21,/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java,[],1,1,1 ns,avgt,"{'doMemory': 'true', 'impl': 'ECLIPSE_O2O_HASH', 'seed': '-1', 'size': '10000', 'workload': 'WORDCOUNT'}","{'score': 2402.976, 'scoreError': 'NaN', 'scoreConfidence': ['NaN', 'NaN'], 'scorePercentiles': {'0.0': 2402.976, '50.0': 2402.976, '90.0': 2402.976, '95.0': 2402.976, '99.0': 2402.976, '99.9': 2402.976, '99.99': 2402.976, '99.999': 2402.976, '99.9999': 2402.976, '100.0': 2402.976}, 'scoreUnit': 'us/op', 'rawData': [[2402.976]]}","{'numentries': {'score': 3239.0, 'scoreError': 'NaN', 'scoreConfidence': [3239.0, 3239.0], 'scorePercentiles': {'0.0': 3239.0, '50.0': 3239.0, '90.0': 3239.0, '95.0': 3239.0, '99.0': 3239.0, '99.9': 3239.0, '99.99': 3239.0, '99.999': 3239.0, '99.9999': 3239.0, '100.0': 3239.0}, 'scoreUnit': '#', 'rawData': [[3239.0]]}, 'tablesizemax': {'score': 16384.0, 'scoreError': 'NaN', 'scoreConfidence': [16384.0, 16384.0], 'scorePercentiles': {'0.0': 16384.0, '50.0': 16384.0, '90.0': 16384.0, '95.0': 16384.0, '99.0': 16384.0, '99.9': 16384.0, '99.99': 16384.0, '99.999': 16384.0, '99.9999': 16384.0, '100.0': 16384.0}, 'scoreUnit': '#', 'rawData': [[16384.0]]}, 'tablesizesum': {'score': 18532.0, 'scoreError': 'NaN', 'scoreConfidence': [18532.0, 18532.0], 'scorePercentiles': {'0.0': 18532.0, '50.0': 18532.0, '90.0': 18532.0, '95.0': 18532.0, '99.0': 18532.0, '99.9': 18532.0, '99.99': 18532.0, '99.999': 18532.0, '99.9999': 18532.0, '100.0': 18532.0}, 'scoreUnit': '#', 'rawData': [[18532.0]]}, 'totalmemory': {'score': 267528.0, 'scoreError': 'NaN', 'scoreConfidence': [267528.0, 267528.0], 'scorePercentiles': {'0.0': 267528.0, '50.0': 267528.0, '90.0': 267528.0, '95.0': 267528.0, '99.0': 267528.0, '99.9': 267528.0, '99.99': 267528.0, '99.999': 267528.0, '99.9999': 267528.0, '100.0': 267528.0}, 'scoreUnit': '#', 'rawData': [[267528.0]]}}",1,OpenJDK 64-Bit Server VM,25.181-b13,1,1,1 ns,3239.0,16384.0,18532.0,267528.0,ECLIPSE_O2O_HASH,_,WORDCOUNT,10000,wordcount,EclipseUpdateValue,EclipseUpdateValue,wordcount
